Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21
ZWE,Zimbabwe,https://www.countryflags.io/zw/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,656,984,1312,2120,3432,5004,6754,8904,11455,14332,17337,20208,23015,25693,28023,29937,31946,33472,34605,35371,36079,36700,37288,37594,38135,38664,39233,40005,40841,41751,42596,43403,45158,47870,51581,56041,61242,66676,72486,78198,84815,92971,101469,110006,119135,130102,142607,155231,166867,179698,191783,204507,216753,228569,241741,255812,268550,281543,293316,304266,314390,323807,332562,341162,351958,365475,381037,398897,416868,436062,457233,476402,494389,512366,529255,547792,567852,587500,610363,632240,653668,675687,675687
ZMB,Zambia,https://www.countryflags.io/zm/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,361,665,994,1417,1982,3269,5046,6835,8636,10450,12526,14796,16641,18646,21360,24798,28960,33116,37759,43054,48401,53922,59602,64782,69885,74800,79362,79362
ZAF,South Africa,https://www.countryflags.io/za/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,2260,4435,7039,10117,13960,18576,24387,31585,39746,47873,55750,62891,69137,75103,80729,85948,90844,95279,99392,103823,110297,116866,123300,129582,136021,142580,149756,155403,161012,166407,172158,178154,184395,189677,195305,201427,208287,214830,221546,228436,236643,244653,251649,257187,262734,267801,272388,275350,277497,279572,282229,284796,287366,289940,292824,294836,296226,296992,297805,298572,299293,299662,300031,300400,300769,301138,301507,301876,302245,302614,304278,307327,310469,314303,318829,326743,336450,345885,354959,364075,373357,382804,391546,400779,412427
WSM,Samoa,https://www.countryflags.io/ws/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7411,8059,8707,9355,10003,10651,11299,11947,11947,11947
VNM,Vietnam,https://www.countryflags.io/vn/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,638,956,1352,2402,4076,5734,7947,10829,14129,17838,21513,24702,27886,30774,33233,35485,37582,39443,41145,42752,44228,45706,47124,48408,49564,50715,51754,52676,53490,54263,54998,55847,56692,57550,58462,59346,60328,61385,62575,63938,66904,69991,76675,83371,92636,108303,127043,145679,171233,201499,246748,300723,349755,401374,457334,511999,564091,606783,643796,684840,725884,766928,802651,802651,802651,802651
VEN,"Venezuela, RB",,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,62,93,124,155,382,748,1282,1983,2852,3888,5092,6296,7500,8704,9749,10635,11362,11931,12341,12592,12684,12776,12868,12960,13052,13144,13236,13328,13420,13512,13604,13696,13788,13880,13972,14064,15853,19338,24520,31398,39973,50245,62213,74643,87535,100888,114703,128980,143718,158918,174118,189318,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518,204518
VCT,St. Vincent and the Grenadines,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8952,9168,9384,9582,9771,9955,10135,10312,10482,10644,10798,10944,11083,11214,11337,11452,11559,11666,11773,11880,11987,12094,12201,12308,12415,12520,12623,12723,12821,12917,13011,13102,13203,13313,13432,13560,13697,13843,13998,14132,14245,14355,14462,14574,14690,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786
UZB,Uzbekistan,https://www.countryflags.io/uz/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5833,11666,17499,23332,29165,34998,43245,53905,66979,82467,100368,122594,149144,177605,214055,250771,287753,325001,360604,394561,425817,448293,469713,490077,509384,529167,549426,573082,600135,630584,664430,701673,740780,781752,822724,863696,904668,945640,986612,1027584,1068556,1068556,1068556
USA,United States,https://www.countryflags.io/us/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556208,614117,741549,892155,1083156,1298394,1529790,1741169,1957316,2193001,2448224,2727000,3029329,3355211,3692160,4040177,4379549,4738436,5116689,5536622,5997885,6544521,7176530,7818054,8528292,9275374,10074081,10885751,11710383,12547978,13459471,14351874,15265786,16241326,17298712,18420896,19547146,20666204,21827254,23062584,24316400,25607816,26932764,28288216,29608196,30926142,32213288,33489652,34841088,36282180,37738640,39227972,40783932,42382012,44037920,45695624,47363252,49025360,50741672,52386220,54007292,55603648,57124736,58582776,60029220,61430896,62885624,64390816,65943536,67588776,69323824,71141328,73084120,75094912,77137584,79216728,81374752,83534144,85704128,87855696,90024384,92257392,94560232,97101832,99488760,101916192,104351232,106824992,109328720,111783840,114032120,116520856,119010552,121507576,123998464,126509224,129133632,131810664,134522272,137279872,140049200,142877680,145781408,148770240,151842768,154927200,157980768,160979296,164008352,167043824,170076880,173188192,176330112,179545008,182929392,186260128,189608320,192957632,196158224,199352464,202479504,205494576,208517440,211464672,214327424,217151504,219902160,222643184,225360240,228029888,230660288,233208496,235754640,238173232,240460624,242655104,244787584,246875200,248963712,250947104,252965040,255082064,257276848,259436000,261524960
URY,Uruguay,https://www.countryflags.io/uy/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,375,9385,20302,33814,46418,58454,68771,79088,90850,103625,116953,132200,149385,168059,186734,203031,217163,228827,242513,258131,274041,289954,309769,333855,361875,390871,420566,450365,480163,512186,546438,581791,618051,655486,692847,730257,765371,799232,833432,867448,899733,933980,968194,1004643,1042662,1082072,1123351,1167991,1213773,1261349,1306690,1349995,1391458,1431349,1469832,1506488,1541445,1577567,1614598,1652014,1688824,1725133,1758362,1791508,1822842,1852582,1880617,1907409,1930803,1954888,1979321,2005531,2032922,2060200,2092619
